airport-id	latitude	longitude	airport-name
AKN	58.6768	-156.6492	King Salmon
AKP	68.1336	-151.7433	Anaktuvuk Pass                          
AKR	7.2500	5.3042	AKURE
AKS	-8.6978	160.6808	Auki
AKT	34.5903	32.9878	AKROTIRI
AKU	41.2625	80.2917	Aksu
AKV	60.8186	-78.1486	Akulivik
AKX	50.2458	57.2067	Aktobe
AKY	20.1329	92.8760	Sittwe                                  
ALA	43.3519	77.0406	Almaty
ALB	42.7483	-73.8017	Albany International Airport            
ALC	38.2822	-0.5582	Alicante
ALF	69.9761	23.3717	Alta
ALG	36.6944	3.2169	Algiers
ALH	-34.9433	117.8083	Albany
ALI	27.7417	-98.0267	ALICE INTL
ALJ	-28.5733	16.5350	ALEXANDER BAY
ALL	44.0467	8.1264	ALBENGA
ALM	32.8399	-105.9906	  Alamogordo
ALN	38.8900	-90.0467	ALTON/ST. LOUIS REGIONAL
ALO	42.5572	-92.4033	Waterloo
ALP	36.1797	37.2261	ALEPPO INTL
ALR	-45.2117	169.3733	ALEXANDRA
ALS	37.4349	-105.8666	Alamosa
ALW	46.0946	-118.2879	Walla Walla
ALY	31.1817	29.9464	ALEXANDRIA INTL
ALZ	56.8958	-154.2458	Alitak
AMA	35.2194	-101.7059	Amarillo International Apt              
AMD	23.0712	72.6264	Ahmedabad
AMH	6.0394	37.5905	Arba Minch
AMI	-8.5620	116.0994	MATARAM/SELAPARANG
AMJ	-16.1833	-40.6667	ALMENARA
AMM	31.7226	35.9932	Amman Queen Alia International Apt      
AMQ	-3.7070	128.0897	Ambon
AMS	52.3081	4.7642	Amsterdam
AMV	69.7633	61.5633	AMDERMA
AMY	-17.6830	45.6170	  Ambatomainty
AMZ	-37.0297	174.9733	ARDMORE
ANB	33.5881	-85.8581	ANNISTON METROPOLITAN
ANC	61.1744	-149.9964	Anchorage International Apt
AND	34.4950	-82.7097	ANDERSON
ANE	47.5603	-0.3122	ANGERS/MARCE
ANF	-23.4444	-70.4450	Antofagasta
ANG	45.7294	0.2192	ANGOULEME/ BRIE CHAMPNIERS
ANI	61.5816	-159.5430	Aniak
ANJ	46.4792	-84.3684	SAULT STE MARIE MUNI/SANDERSON
ANK	39.9575	32.6744	ANKARA/ETIMESGUT
ANM	-14.9994	50.3202	Antalaha
ANN	55.0425	-131.5722	ANNETTE ISLAND
ANO	-16.1833	39.9333	ANGOCHE
ANR	51.1894	4.4603	Antwerp                                 
ANS	-13.7042	-73.3481	Andahuaylas
ANU	17.1367	-61.7928	Antigua
ANV	62.6467	-160.1907	Anvik                                   
ANW	42.5800	-99.9933	AINSWORTH
ANX	69.2925	16.1442	Andenes                                 
AOC	50.9818	12.5064	ALTENBURG-NOBITZ
AOE	39.8117	30.5286	XXX
AOG	41.1053	122.8539	  Anshan
AOI	43.6167	13.3603	Ancona
AOJ	40.7347	140.6908	Aomori                                  
AOK	35.4167	27.1500	Karpathos
AOL	-29.6881	-57.1522	PASO DE LOS LIBRES
AOO	40.2964	-78.3200	Altoona
AOQ	72.8869	-55.5961	Aappilattoq
AOR	6.1944	100.4008	Alor Setar
AOS	57.4667	-153.8333	Amook
AOT	45.7386	7.3681	AOSTA
AOU	14.8000	106.8167	ATTOPEU
AOX	46.0525	63.2492	YUBILEYNYI/BAJKONUR
APA	39.5701	-104.8493	DENVER/ARAPAHOE/CENTENNIAL
APC	38.2131	-122.2806	NAPA CO
APF	26.1526	-81.7753	Naples
APG	39.4662	-76.1688	PHILLIPS AAF (ABERDEEN PG)
API	4.0761	-73.5627	GOMEZ NINO APIAY AB
APK	-15.5736	-146.4153	Apataki                                 
APL	-15.1000	39.2833	Nampula                                 
APN	45.0781	-83.5603	Alpena
APO	7.0330	-77.2000	Apartado
APS	-16.3619	-48.9275	ANAPOLIS
APU	-23.6117	-51.3844	APUCARANA
APV	34.5753	-117.1862	APPLE VALLEY
APW	-13.8297	-171.9972	Apia Faleolo Apt
APX	-23.3625	-51.4792	ARAPONGAS
AQA	-21.8039	-48.1397	ARARAQUARA
AQG	30.5822	117.0503	Anqing
AQI	28.3352	46.1249	Qaisumah                                
AQJ	29.6116	35.0181	Aqaba                                   
AQP	-16.3403	-71.5728	Arequipa
ARA	30.0378	-91.8839	NEW IBERIA/ACADIANA RGNL
ARC	68.1147	-145.5794	Arctic Village
ARD	-8.0754	124.3551	Alor Island
ARH	64.6000	40.7183	Arkhangelsk
ARI	-18.3486	-70.3386	Arica
ARK	-3.3678	36.6333	Arusha
ARM	-30.5300	151.6175	Armidale
ARN	59.6519	17.9186	Stockholm Arlanda Apt
ARS	-15.8989	-52.2403	ARAGARCAS
ART	43.9919	-76.0217	Watertown
ARU	-21.1436	-50.4258	Aracatuba                               
ARV	45.9279	-89.7309	  Minocqua-Woodruff
ARW	46.1765	21.2620	Arad
ARY	-37.3119	142.9906	ARARAT
ASA	13.0667	42.6333	ASSAB
ASB	37.9917	58.3633	Ashgabat International                  
ASD	24.6983	-77.7956	  Andros Town
ASE	39.2232	-106.8688	Aspen
ASF	46.2833	48.0083	Astrakhan
ASI	-7.9700	-14.3933	ASCENSION AUX AB WIDEAWAKE
ASJ	28.4308	129.7126	Amami
ASK	6.9061	-5.3626	YAMOUSSOUKRO
ASM	15.2842	38.9000	Asmara
ASO	10.0185	34.5863	Asosa
ASP	-23.8067	133.9017	Alice Springs Airport
ASR	38.7703	35.4953	Kayseri
ASS	-24.7441	31.5224	Arathusa Safari Lodge Airport
AST	44.8373	-117.8075	ASTORIA
ASU	-25.2411	-57.5168	Asuncion
ASV	-2.6330	37.2500	Amboseli
ASW	23.9644	32.8200	Aswan                                   
ATA	-9.3436	-77.5958	Anta                                    
ATB	17.7097	34.0574	ATBARA
ATC	24.6700	-75.7500	Arthur's Town
ATD	-8.8733	161.0114	Atoifi
ATF	-1.2119	-78.5747	AMBATO/CHACHOAN
ATH	37.9367	23.9445	Athens                                  
ATK	70.4673	-157.4357	Atqasuk
ATL	33.6367	-84.4281	Atlanta Hartsfield-Jackson Intl Apt
ATM	-3.2506	-52.2517	Altamira
ATN	-3.6670	152.4330	  Namatanai
ATQ	31.7044	74.8021	Amritsar
ATR	20.5008	-13.0467	ATAR
ATT	60.8667	-162.2731	Atmautluak
ATW	44.2581	-88.5191	Appleton
ATY	44.9140	-97.1547	Watertown
ATZ	27.0464	31.0119	Asyut                                   
AUA	12.5014	-70.0152	Aruba
AUC	7.0689	-70.7369	Arauca
AUF	47.8464	3.4967	AUXERRE/BRANCHES
AUG	44.3200	-69.7967	Augusta                                 
AUH	24.4367	54.6508	Abu Dhabi International Apt
AUK	62.6800	-164.6599	Alakanuk
AUL	8.1333	171.1667	XXX
AUQ	-9.7667	-139.0167	Hiva Oa
AUR	44.8975	2.4167	Aurillac
AUS	30.1950	-97.6700	Austin-Bergstrom International Apt      
AUU	-13.3539	141.7208	Aurukun
AUW	44.9285	-89.6266	WAUSAU DOWNTOWN
AUX	-7.2281	-48.2403	Araguaina
AUY	-20.2492	169.7714	Aneityum
AVA	26.2606	105.8731	Anshun
AVB	45.9250	12.4292	AVIANO
AVI	22.0269	-78.7894	CIEGO DE AVILA MAXIMO GOMEZ
AVL	35.4367	-82.5417	Asheville
AVN	43.9067	4.9019	AVIGNON/CAUMONT
AVP	41.3384	-75.7234	Wilkes-Barre Scranton International Apt
AVR	38.8855	-9.0281	ALVERCA-DGMFA
AVU	-9.8670	160.4000	  Avu Avu
AVV	-38.0394	144.4694	Melbourne Avalon Airport
AWA	7.0542	38.2354	  Awasa
AWB	-8.0000	142.7500	  Awaba
AWD	-19.2400	169.6050	Aniwa                                   
AWK	19.2819	166.6386	WAKE ISLAND AAF
AWZ	31.3375	48.7603	Ahwaz
AXA	18.2047	-63.0539	Anguilla
AXD	40.8558	25.9561	Alexandroupolis
AXF	38.4924	105.3751	Alxa Left Banner Bayanhot      
AXJ	32.2856	130.0932	Amakusa Airfield   
AXK	14.5333	46.8167	Ataq                                    
AXM	4.4533	-75.7658	Armenia
AXN	45.8663	-95.3947	ALEXANDRIA/CHANDLER FIELD
AXP	22.4418	-73.9709	Spring Point
AXR	-15.2464	-146.6203	Arutua                                  
AXT	39.6156	140.2185	Akita
AXU	14.1371	38.7761	Axum                                    
AYK	50.3250	66.9600	ARKALYK
AYP	-13.1511	-74.2017	Ayacucho                                
AYQ	-25.1867	130.9750	Ayers Rock
AYR	-19.5958	147.3258	AYR
AYS	31.2491	-82.3955	WAYCROSS WARE CO
AYT	36.9008	30.7947	Antalya
AZA	33.3078	-111.6555	Phoenix Williams Gateway Airport
AZD	31.9061	54.2764	Yazd
AZI	24.4283	54.4581	Abu Dhabi Bateen Apt
AZN	40.7267	72.2933	Andizhan
AZO	42.2349	-85.5521	Kalamazoo
AZR	27.8392	-0.1853	Adrar
AZS	19.1986	-69.4298	Samana
BAB	39.1362	-121.4365	BEALE AFB MARYSVILLE
BAD	32.5018	-93.6627	BOSSIER CITY/BARKSDALE AFB
BAF	42.1575	-72.7158	WESTFIELD/BARNES MUNI
BAG	16.3767	120.6189	BAGUIO
BAH	26.2708	50.6336	Bahrain                                 
BAL	37.9322	41.1164	Batman                                  
BAM	40.5990	-116.8743	BATTLE MOUNTAIN
BAQ	10.8894	-74.7806	Barranquilla
BAR	19.0826	110.2732	Qionghai Bo'ao 
BAS	-6.9670	155.8830	Balalae                                 
BAT	-20.5850	-48.5953	BARRETOS/CHAFEI AMSEI
BAU	-22.3436	-49.0539	BAURU
BAV	40.5600	109.9969	Baotou                                  
BAX	53.3633	83.5417	Barnaul
BAY	47.6583	23.4662	Baia Mare                               
BAZ	-0.9808	-62.9189	Barcelos
BBA	-45.9186	-71.6972	Balmaceda
BBH	54.3382	12.7101	BARTH
BBI	20.2467	85.8185	Bhubaneshwar
BBJ	49.9453	6.5650	BITBURG
BBK	-17.8297	25.1631	Kasane
BBL	-27.2430	141.4830	Ballera
BBM	13.1030	103.2294	BATTAMBANG
BBN	3.7339	115.4786	Bario
BBO	10.3833	44.9500	Berbera
BBQ	17.6275	-61.8269	  Codrington
BBS	51.3239	-0.8475	BLACKBUSH
BBT	4.2261	15.7856	BERBERATI
BBU	44.5035	26.1036	BUCHAREST/BANEASA-AUREL VLAICU
BBW	41.4367	-99.6417	BROKEN BOW
BCA	20.3647	-74.5067	Baracoa
BCD	10.6425	122.9296	Bacolod
BCH	-8.4854	126.3993	BAUCAU
BCI	-23.5650	145.3094	Barcaldine
BCL	10.7687	-83.5856	  Barra del Colorado
BCM	46.5219	26.9103	Bacau
BCN	41.2971	2.0785	Barcelona Apt         
BCO	5.4700	36.3345	Baco                       
BCR	-8.8333	-67.3117	BOCA DO ACRE/NOVO CAMPO
BCT	26.3784	-80.1076	BOCA RATON
BCU	10.2900	9.4440	Bauchi State Airport
BCV	17.2694	-88.7761	Belmopan
BCW	-23.7333	35.1167	Benguera Island
BDA	32.3640	-64.6787	Bermuda L.F Wade International          
BDB	-24.9053	152.3175	Bundaberg
BDD	-10.1500	142.1742	  Badu Island
BDE	48.7284	-94.6122	BAUDETTE INTL
BDH	26.5314	54.8275	Bandar Lengeh                           
BDJ	-3.4397	114.7528	Banjarmasin                             
BDL	41.9389	-72.6832	Hartford Bradley International Apt      
BDM	40.3156	27.9828	BALIKESIR/BANDIRMA
BDO	-6.9019	107.5761	Bandung
BDP	26.5703	88.0758	Bhadrapur
BDQ	22.3294	73.2194	Vadodara
BDR	41.1607	-73.1245	BRIDGEPORT/IGOR I. SIKORSKY
BDS	40.6606	17.9481	Brindisi                                
BDT	4.2500	20.9667	GBADOLITE
BDU	69.0558	18.5403	Bardufoss                               
BEB	57.4811	-7.3628	Benbecula                               
BED	42.4700	-71.2900	BEDFORD/LAURENCE G.HANSCOM FLD
BEG	44.8194	20.3125	Belgrade
BEJ	2.1533	117.4311	Tanjung Redeb
BEL	-1.3847	-48.4789	Belem        
BEM	32.2400	6.1900	Beni Mellal                                
BEN	32.0975	20.2708	Benghazi                                
BEP	15.1628	76.8828	  Bellary
BES	48.4472	-4.4217	Brest                                   
BET	60.7798	-161.8380	Bethel Municipal Apt
BEU	-24.3467	139.4600	Bedourie
BEV	31.2881	34.7231	BEER SHEBA-TEYMAN
BEW	-19.7947	34.8992	Beira
BEX	51.6147	-1.0939	BENSON
BEY	33.8206	35.4900	Beirut                                  
BFD	41.8030	-78.6402	Bradford
BFF	41.8740	-103.5956	Scottsbluff
BFI	47.5300	-122.3020	Seattle Boeing Field
BFJ	27.3003	105.3014	Bijie
BFL	35.4333	-119.0567	Bakersfield
BFM	30.6267	-88.0681	MOBILE DOWNTOWN
BFN	-29.0938	26.3040	Bloemfontein
BFO	-21.0086	31.5794	CHIREDZI/BUFFALO RANGE
BFP	40.7725	-80.3915	BEAVER CO
BFQ	7.5830	-78.2000	Bahia Pinas                             
BFS	54.6575	-6.2158	Belfast International Apt               
BFV	15.2267	103.2511	Buriram
BFX	5.5347	10.3558	BAFOUSSAM
BGA	7.1269	-73.1850	Bucaramanga
BGC	41.8567	-6.7075	BRAGANCA
BGF	4.3977	18.5198	Bangui                                  
BGG	38.8600	40.5939	Bingol                                  
BGI	13.0746	-59.4921	Barbados                                
BGM	42.2087	-75.9731	Binghamton
BGN	51.2000	6.1333	Belaya Gora
BGO	60.2936	5.2181	Bergen                                  
BGR	44.8074	-68.8281	Bangor
BGU	4.7833	22.7833	BANGASSOU
BGW	33.3500	44.4170	Baghdad
BGX	-31.3908	-54.1097	BAGE/GUSTAVO KRAEMER
BGY	45.6689	9.7003	Milan Bergamo/Orio al Serio Apt
BHA	-0.6050	-80.4042	SAN VICENTE
BHB	44.4498	-68.3616	Bar Harbor                              
BHD	54.6181	-5.8725	Belfast George Best City Apt
BHE	-41.5183	173.8703	Blenheim
BHG	15.7350	-84.5425	  Brus Laguna
BHH	19.9842	42.6231	Bisha                                   
BHI	-38.7203	-62.1575	Bahia Blanca
BHJ	23.2867	69.6700	Bhuj
BHK	39.7750	64.4833	Bukhara                                 
BHM	33.5629	-86.7535	Birmingham                              
BHO	23.2869	77.3369	Bhopal
BHQ	-32.0017	141.4717	Broken Hill                             
BHR	27.6781	84.4294	Bharatpur                               
BHS	-33.4111	149.6528	Bathurst                                
BHU	21.7542	72.1906	Bhavnagar
BHV	29.3444	71.7125	Bahawalpur
BHX	52.4539	-1.7480	Birmingham Airport
BHY	21.5394	109.2939	Beihai                                  
BIA	42.5500	9.4847	Bastia
BIC	57.6600	-157.5800	Big Creek
BID	41.1681	-71.5778	  Block Island
BIE	40.3017	-96.7533	BEATRICE
BIF	31.8495	-106.3800	BIGGS AAF
BIG	63.9945	-145.7216	DELTA JUNCTION/FT GREELY ALLEN
BIH	37.3731	-118.3636	BISHOP E. SIERRA REGNL
BII	11.5225	165.5650	  Bikini Atoll
BIK	-1.1919	136.1100	Biak                                    
BIL	45.8077	-108.5429	Billings
BIM	25.6999	-79.2647	Bimini International Apt
BIN	34.4836	67.4914	Bamyan
BIO	43.3011	-2.9106	Bilbao                                  
BIQ	43.4683	-1.5311	Biarritz
BIR	26.4840	87.2643	Biratnagar                              
BIS	46.7740	-100.7467	Bismarck
BIV	6.5267	21.9900	BRIA
BIX	30.4113	-88.9236	KEESLER AFB/BILOXI
BIY	-32.8950	27.2850	BHISHO
BJA	36.7119	5.0694	Bejaia                                  
BJB	37.4892	57.3064	Bojnurd                                 
BJC	39.9083	-105.1167	DENVER JEFFCO
BJF	70.6003	29.6925	Batsfjord
BJI	47.5094	-94.9337	Bemidji
BJL	13.3425	-16.6578	Banjul                                  
BJM	-3.3178	29.3172	Bujumbura                               
BJR	11.6063	37.3197	Bahar Dar
BJT	6.4833	79.9833	Bentota River
BJV	37.2472	27.6814	Bodrum Milas Airport
BJW	-8.4245	121.0345	Turelelo Soa
BJX	20.9933	-101.4810	Leon/Guanajuato                         
BJY	44.9236	20.2790	BEOGRAD/BATAJNICA
BJZ	38.8912	-6.8213	Badajoz
BKA	55.6172	38.0600	Moscow Bykovo Apt
BKB	28.0414	73.1225	Nal Airport
BKC	65.9816	-161.1491	Buckland                                
BKE	44.8373	-117.8091	BAKER CITY MUNI
BKF	39.7017	-104.7517	AURORA/BUCKLEY AFB
BKG	36.5321	-93.2005	Branson                                 
BKI	5.9447	116.0531	Kota Kinabalu                           
BKK	13.6811	100.7473	Bangkok Suvarnabhumi International Apt
BKL	41.5250	-81.6833	CLEVELAND BURKE
BKM	3.9740	115.6180	Bakelalan
BKN	39.2853	54.2146	Balkanabat
BKO	12.5379	-7.9433	Bamako
BKQ	-24.4267	145.4233	Blackall
BKS	-3.8611	102.3394	Bengkulu                                
BKW	37.7867	-81.1244	Beckley
BKY	-2.3090	28.8088	Bukavu
BKZ	-1.3000	31.8000	Bukoba
BLA	10.1167	-64.6833	Barcelona
BLB	8.9148	-79.5996	BALBOA/HOWARD AFB
BLD	35.9475	-114.8611	Las Vegas Boulder City Airport
BLE	60.4222	15.5150	Borlange/Falun                          
BLF	37.2958	-81.2077	BLUEFIELD
BLH	33.6192	-114.7168	BLYTHE
BLI	48.7927	-122.5375	Bellingham
BLJ	35.7592	6.3225	Batna
BLK	53.7716	-3.0286	Blackpool                               
BLL	55.7403	9.1518	Billund
BLQ	44.5306	11.2969	Bologna                                 
BLR	12.9522	77.6646	Bengaluru                               
BLT	-23.6000	148.8167	BLACKWATER
BLV	38.5452	-89.8352	Belleville                              
BLZ	-15.6798	34.9676	Blantyre                                
BMA	59.3544	17.9422	Stockholm Bromma Apt
BMB	-2.1058	22.2854	Bumba
BMC	41.5524	-112.0622	BRIGHAM CITY
BMD	-19.6867	44.5419	  Belo sur Tsiribihina
BME	-17.9500	122.2317	Broome
BMI	40.4767	-88.9167	Bloomington-Normal
BMK	53.5955	6.7092	  Borkum
BMO	24.2690	97.2462	Bhamo                                   
BMU	-8.5408	118.6906	Bima
BMV	12.6661	108.1145	Ban Me Thuot
BMW	21.3750	0.9239	Bordj Mokhtar                           
BMY	-19.7206	163.6611	Ile Art
BNA	36.1245	-86.6782	Nashville                               
BNB	-0.2860	20.8840	Boende
BNC	0.5750	29.4739	Beni
BND	27.2186	56.3778	Bandar Abbas
BNE	-27.3858	153.1183	Brisbane
BNI	6.2331	5.5992	Benin City                              
BNJ	50.7319	7.0967	Bonn Stn. (DE)
BNK	-28.8333	153.5617	Ballina                                 
BNN	65.4611	12.2175	Bronnoysund                             
BNO	43.5919	-118.9554	BURNS
BNP	32.9667	70.5333	BANNU
BNS	8.6167	-70.2167	Barinas                                 
BNX	44.9417	17.3033	Banja Luka
BNY	-11.3022	159.7981	Bellona
BOA	-5.8540	13.0640	  Boma
BOB	-16.4436	-151.7525	Bora Bora                               
BOC	9.3408	-82.2508	Bocas Del Toro                          
BOD	44.8286	-0.7153	Bordeaux Merignac Apt
BOG	4.7031	-74.1383	Bogota                                  
BOH	50.7800	-1.8425	Bournemouth                             
BOI	43.5644	-116.2228	Boise
BOJ	42.5703	27.5153	Burgas                                  
BOM	19.0908	72.8667	Mumbai                                  
BON	12.1311	-68.2769	Bonaire
BOO	67.2692	14.3653	Bodo
BOP	5.9667	15.6333	BOUAR
BOS	42.3643	-71.0052	Boston Logan International Apt          
BOT	-7.2330	141.0830	  Boset
BOU	47.0644	2.3789	BOURGES
BOX	-16.0753	136.3022	BORROLOOLA
BOY	11.1675	-4.3211	Bobo Dioulasso      
BPC	06.0221	10.0721	Bamenda                 
BPE	39.3959	119.0332	Qinhuangdao Beidaihe Airport
BPF	-8.5830	158.1170	  Batuna
BPG	-15.8603	-52.3889	BARRO DO GARCAS
BPH	8.1885	126.3270	BISLIG
BPI	42.5851	-110.1112	BIG PINEY
BPL	44.9038	82.0708	Bole                                    
BPM	34.9463	69.2650	Hyderabad Begumpet Airport              
BPN	-1.2672	116.8939	Balikpapan
BPS	-16.4381	-39.0733	Porto Seguro
BPT	29.9508	-94.0207	Beaumont Jefferson County Apt
BPX	30.5536	97.1083	Qamdo/Changdu
BPY	-16.7419	44.4814	  Besalampy
BQA	15.7331	121.5022	BALER
BQB	-33.6867	115.4000	Busselton
BQG	52.2250	140.2655	Bogorodskoye  
BQH	51.3308	0.0325	BIGGIN HILL
BQJ	67.3856	134.4142	Batagay
BQK	31.2588	-81.4665	Brunswick Glynco Jetport
BQL	-22.9133	139.9000	Boulia                                  
BQN	18.4948	-67.1295	Aguadilla
BQQ	-22.4831	-48.5239	BARRA BONITA/FAZ SANTA LUIZA
BQS	50.4250	127.4117	Blagoveschensk
BQT	52.1083	23.8981	BREST
BRA	-12.0794	-45.0094	Barreiras                               
BRB	-2.7958	-57.0556	BARREIRINHA
BRC	-41.1511	-71.1578	San Carlos de Bariloche
BRD	46.3983	-94.1381	Brainerd
BRE	53.0474	8.7867	Bremen                                  
BRI	41.1392	16.7658	Bari
BRK	-30.0403	145.9528	BOURKE
BRL	40.7832	-91.1255	Burlington
BRM	10.0456	-69.3564	Barquisimeto
BRN	46.9122	7.4992	Berne Belp
BRO	25.9068	-97.4259	Brownsville
BRQ	49.1514	16.6939	Brno                                    
BRR	57.0170	-7.4330	Barra
BRS	51.3827	-2.7191	Bristol
BRT	-11.7664	130.6167	BATHURST ISLAND
BRU	50.9014	4.4844	Brussels Airport
BRV	53.5071	8.5729	BREMERHAVEN
BRW	71.2854	-156.7660	Barrow Wiley Post/Will Rogers Memorial  
BRX	18.2517	-71.1219	BARAHONA/MARIA MONTEZ
BSA	11.2753	49.1494	Bosaso                                  
BSB	-15.8692	-47.9208	Brasilia
BSC	6.2031	-77.3947	Bahia Solano                            
BSD	25.1500	99.1500	Baoshan                                 
BSG	1.9022	9.8028	Bata
